# Without using hugepages and inteleaving
Batch size = 8, CPU: 0.000014, GPU: 0.000137, CPU/GPU: 0.101840
Batch size = 16, CPU: 0.000025, GPU: 0.000159, CPU/GPU: 0.159696
Batch size = 24, CPU: 0.000040, GPU: 0.000151, CPU/GPU: 0.263342
Batch size = 32, CPU: 0.000052, GPU: 0.000135, CPU/GPU: 0.386648
Batch size = 40, CPU: 0.000067, GPU: 0.000146, CPU/GPU: 0.455576
Batch size = 48, CPU: 0.000074, GPU: 0.000145, CPU/GPU: 0.511251
Batch size = 56, CPU: 0.000085, GPU: 0.000149, CPU/GPU: 0.573668
Batch size = 64, CPU: 0.000099, GPU: 0.000141, CPU/GPU: 0.704673
Batch size = 72, CPU: 0.000112, GPU: 0.000135, CPU/GPU: 0.832866
Batch size = 80, CPU: 0.000123, GPU: 0.000136, CPU/GPU: 0.906501
Batch size = 88, CPU: 0.000134, GPU: 0.000146, CPU/GPU: 0.923259
Batch size = 96, CPU: 0.000142, GPU: 0.000147, CPU/GPU: 0.970451
Batch size = 104, CPU: 0.000157, GPU: 0.000144, CPU/GPU: 1.090519
Batch size = 112, CPU: 0.000165, GPU: 0.000136, CPU/GPU: 1.218874
Batch size = 120, CPU: 0.000176, GPU: 0.000135, CPU/GPU: 1.307703
Batch size = 128, CPU: 0.000179, GPU: 0.000145, CPU/GPU: 1.236934
Batch size = 136, CPU: 0.000197, GPU: 0.000148, CPU/GPU: 1.334820
Batch size = 144, CPU: 0.000199, GPU: 0.000137, CPU/GPU: 1.458587
Batch size = 152, CPU: 0.000216, GPU: 0.000155, CPU/GPU: 1.393952
Batch size = 160, CPU: 0.000219, GPU: 0.000151, CPU/GPU: 1.453243
Batch size = 168, CPU: 0.000242, GPU: 0.000159, CPU/GPU: 1.521939
Batch size = 176, CPU: 0.000245, GPU: 0.000140, CPU/GPU: 1.747209
Batch size = 184, CPU: 0.000257, GPU: 0.000145, CPU/GPU: 1.772581
Batch size = 192, CPU: 0.000258, GPU: 0.000147, CPU/GPU: 1.761558
Batch size = 200, CPU: 0.000278, GPU: 0.000151, CPU/GPU: 1.839364
Batch size = 208, CPU: 0.000276, GPU: 0.000147, CPU/GPU: 1.876780
Batch size = 216, CPU: 0.000298, GPU: 0.000161, CPU/GPU: 1.847606
Batch size = 224, CPU: 0.000311, GPU: 0.000145, CPU/GPU: 2.152576
