# With hugepahes and interleaving
Batch size = 8, CPU: 0.000003, GPU: 0.000127, CPU/GPU: 0.020450
Batch size = 16, CPU: 0.000005, GPU: 0.000152, CPU/GPU: 0.032346
Batch size = 24, CPU: 0.000007, GPU: 0.000129, CPU/GPU: 0.051699
Batch size = 32, CPU: 0.000008, GPU: 0.000145, CPU/GPU: 0.056440
Batch size = 40, CPU: 0.000011, GPU: 0.000155, CPU/GPU: 0.071329
Batch size = 48, CPU: 0.000013, GPU: 0.000151, CPU/GPU: 0.084270
Batch size = 56, CPU: 0.000014, GPU: 0.000127, CPU/GPU: 0.106993
Batch size = 64, CPU: 0.000015, GPU: 0.000126, CPU/GPU: 0.118030
Batch size = 72, CPU: 0.000018, GPU: 0.000158, CPU/GPU: 0.114755
Batch size = 80, CPU: 0.000019, GPU: 0.000135, CPU/GPU: 0.139514
Batch size = 88, CPU: 0.000032, GPU: 0.000146, CPU/GPU: 0.221706
Batch size = 96, CPU: 0.000027, GPU: 0.000126, CPU/GPU: 0.216752
Batch size = 104, CPU: 0.000028, GPU: 0.000145, CPU/GPU: 0.192373
Batch size = 112, CPU: 0.000029, GPU: 0.000136, CPU/GPU: 0.214487
Batch size = 120, CPU: 0.000031, GPU: 0.000148, CPU/GPU: 0.208106
Batch size = 128, CPU: 0.000033, GPU: 0.000133, CPU/GPU: 0.243720
Batch size = 136, CPU: 0.000034, GPU: 0.000135, CPU/GPU: 0.256237
Batch size = 144, CPU: 0.000036, GPU: 0.000142, CPU/GPU: 0.256165
Batch size = 152, CPU: 0.000038, GPU: 0.000127, CPU/GPU: 0.299199
Batch size = 160, CPU: 0.000039, GPU: 0.000147, CPU/GPU: 0.268227
Batch size = 168, CPU: 0.000042, GPU: 0.000151, CPU/GPU: 0.276746
Batch size = 176, CPU: 0.000044, GPU: 0.000130, CPU/GPU: 0.340934
Batch size = 184, CPU: 0.000049, GPU: 0.000128, CPU/GPU: 0.380258
Batch size = 192, CPU: 0.000048, GPU: 0.000129, CPU/GPU: 0.374130
Batch size = 200, CPU: 0.000048, GPU: 0.000160, CPU/GPU: 0.299987
Batch size = 208, CPU: 0.000050, GPU: 0.000144, CPU/GPU: 0.347237
Batch size = 216, CPU: 0.000060, GPU: 0.000144, CPU/GPU: 0.414167
Batch size = 224, CPU: 0.000054, GPU: 0.000146, CPU/GPU: 0.372290
Batch size = 232, CPU: 0.000057, GPU: 0.000141, CPU/GPU: 0.401712
Batch size = 240, CPU: 0.000057, GPU: 0.000139, CPU/GPU: 0.411705
Batch size = 248, CPU: 0.000060, GPU: 0.000148, CPU/GPU: 0.406268
Batch size = 256, CPU: 0.000061, GPU: 0.000154, CPU/GPU: 0.393341
Batch size = 264, CPU: 0.000064, GPU: 0.000130, CPU/GPU: 0.490027
Batch size = 272, CPU: 0.000064, GPU: 0.000140, CPU/GPU: 0.459040
Batch size = 280, CPU: 0.000066, GPU: 0.000155, CPU/GPU: 0.425393
Batch size = 288, CPU: 0.000068, GPU: 0.000137, CPU/GPU: 0.492519
Batch size = 296, CPU: 0.000070, GPU: 0.000132, CPU/GPU: 0.529852
Batch size = 304, CPU: 0.000075, GPU: 0.000130, CPU/GPU: 0.574401
Batch size = 312, CPU: 0.000073, GPU: 0.000151, CPU/GPU: 0.481221
Batch size = 320, CPU: 0.000075, GPU: 0.000143, CPU/GPU: 0.520359
Batch size = 328, CPU: 0.000076, GPU: 0.000123, CPU/GPU: 0.623720
Batch size = 336, CPU: 0.000079, GPU: 0.000141, CPU/GPU: 0.560146
Batch size = 344, CPU: 0.000093, GPU: 0.000141, CPU/GPU: 0.657780
Batch size = 352, CPU: 0.000083, GPU: 0.000166, CPU/GPU: 0.496836
Batch size = 360, CPU: 0.000096, GPU: 0.000131, CPU/GPU: 0.731667
Batch size = 368, CPU: 0.000086, GPU: 0.000155, CPU/GPU: 0.555362
Batch size = 376, CPU: 0.000094, GPU: 0.000134, CPU/GPU: 0.701529
Batch size = 384, CPU: 0.000091, GPU: 0.000133, CPU/GPU: 0.683902
Batch size = 392, CPU: 0.000098, GPU: 0.000162, CPU/GPU: 0.602905
Batch size = 400, CPU: 0.000096, GPU: 0.000134, CPU/GPU: 0.719139
Batch size = 408, CPU: 0.000105, GPU: 0.000136, CPU/GPU: 0.768753
Batch size = 416, CPU: 0.000096, GPU: 0.000128, CPU/GPU: 0.748287
Batch size = 424, CPU: 0.000105, GPU: 0.000136, CPU/GPU: 0.772666
Batch size = 432, CPU: 0.000099, GPU: 0.000141, CPU/GPU: 0.703735
Batch size = 440, CPU: 0.000108, GPU: 0.000138, CPU/GPU: 0.780714
Batch size = 448, CPU: 0.000108, GPU: 0.000136, CPU/GPU: 0.792061
Batch size = 456, CPU: 0.000112, GPU: 0.000137, CPU/GPU: 0.820553
Batch size = 464, CPU: 0.000107, GPU: 0.000168, CPU/GPU: 0.639629
Batch size = 472, CPU: 0.000115, GPU: 0.000160, CPU/GPU: 0.720604
Batch size = 480, CPU: 0.000112, GPU: 0.000141, CPU/GPU: 0.796026
Batch size = 488, CPU: 0.000118, GPU: 0.000151, CPU/GPU: 0.786142
Batch size = 496, CPU: 0.000114, GPU: 0.000151, CPU/GPU: 0.751742
Batch size = 504, CPU: 0.000122, GPU: 0.000150, CPU/GPU: 0.816103
Batch size = 512, CPU: 0.000114, GPU: 0.000146, CPU/GPU: 0.780861
Batch size = 520, CPU: 0.000125, GPU: 0.000146, CPU/GPU: 0.857719
Batch size = 528, CPU: 0.000121, GPU: 0.000154, CPU/GPU: 0.790174
Batch size = 536, CPU: 0.000131, GPU: 0.000144, CPU/GPU: 0.909350
Batch size = 544, CPU: 0.000124, GPU: 0.000166, CPU/GPU: 0.749923
Batch size = 552, CPU: 0.000135, GPU: 0.000153, CPU/GPU: 0.878941
Batch size = 560, CPU: 0.000129, GPU: 0.000164, CPU/GPU: 0.791650
Batch size = 568, CPU: 0.000137, GPU: 0.000153, CPU/GPU: 0.894377
Batch size = 576, CPU: 0.000131, GPU: 0.000153, CPU/GPU: 0.853903
Batch size = 584, CPU: 0.000141, GPU: 0.000172, CPU/GPU: 0.819208
Batch size = 592, CPU: 0.000134, GPU: 0.000149, CPU/GPU: 0.905051
Batch size = 600, CPU: 0.000147, GPU: 0.000146, CPU/GPU: 1.001914
Batch size = 608, CPU: 0.000139, GPU: 0.000163, CPU/GPU: 0.850125
Batch size = 616, CPU: 0.000147, GPU: 0.000139, CPU/GPU: 1.058386
Batch size = 624, CPU: 0.000142, GPU: 0.000167, CPU/GPU: 0.852560
Batch size = 632, CPU: 0.000151, GPU: 0.000150, CPU/GPU: 1.005625
Batch size = 640, CPU: 0.000145, GPU: 0.000162, CPU/GPU: 0.894712
Batch size = 648, CPU: 0.000154, GPU: 0.000171, CPU/GPU: 0.900371
Batch size = 656, CPU: 0.000150, GPU: 0.000168, CPU/GPU: 0.893257
Batch size = 664, CPU: 0.000158, GPU: 0.000149, CPU/GPU: 1.060244
Batch size = 672, CPU: 0.000153, GPU: 0.000148, CPU/GPU: 1.039355
Batch size = 680, CPU: 0.000169, GPU: 0.000156, CPU/GPU: 1.085431
Batch size = 688, CPU: 0.000165, GPU: 0.000164, CPU/GPU: 1.003801
